Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.03266747135722297	738531	71
chr1	AL645608.2	0.04266811106170728	818042	185
chr1	SAMD11	0.05553471606654292	860259	202
chr1	AL645608.1	0.052070016729144	861263	37
chr1	NOC2L	0.050651743727073026	879583	77
chr1	KLHL17	0.04384022545618578	895966	46
chr1	PLEKHN1	0.0877244980867891	901876	62
chr1	C1orf170	0.030312041799761408	910578	89
chr1	HES4	0.034133392861783844	934341	93
chr1	ISG15	0.04980339626668008	948802	56
chr1	AGRN	0.03318261060521401	955502	295
chr1	RNF223	0.032504629063535954	1006345	58
chr1	C1orf159	0.024312536379463623	1017197	361
chr1	TTLL10	0.03981973187400903	1109263	350
chr1	TNFRSF18	0.06948152030111564	1138887	32
chr1	TNFRSF4	0.05215124640288056	1146705	38
chr1	SDF4	0.03775823647480763	1152287	134
chr1	B3GALT6	0.09439251757514135	1167628	28
chr1	FAM132A	0.05337783585462217	1177825	60
chr1	UBE2J2	0.08665151517598238	1189288	131
chr1	SCNN1D	0.0789275507813417	1215815	98
chr1	ACAP3	0.042705682367476114	1227755	82
chr1	PUSL1	0.05472740449021567	1243946	10
chr1	CPSF3L	0.06789581001056591	1246964	29
chr1	GLTPD1	0.06842846032985404	1260135	33
chr1	TAS1R3	0.0804515236564197	1266693	27
chr1	DVL1	0.06274972334367895	1270655	60
chr1	MXRA8	0.04249292197947788	1288068	134
chr1	AURKAIP1	0.035580591597684105	1309109	85
chr1	CCNL2	0.061392503402747475	1321090	62
chr1	RP4-758J18.2	0.038664773135847375	1334901	10
chr1	MRPL20	0.07024132453238685	1337287	49
chr1	ANKRD65	0.04369756051174539	1353799	48
chr1	TMEM88B	0.06137538869238228	1361507	44
chr1	VWA1	0.065697381557892	1370240	53
chr1	ATAD3C	0.1014864625591457	1385068	93
chr1	ATAD3B	0.08608276795324153	1407142	165
chr1	ATAD3A	0.07090140104304168	1447530	138
chr1	TMEM240	0.05096416061791243	1470553	13
chr1	SSU72	0.05137072171181096	1477052	120
chr1	AL645728.1	0.06730808562970159	1510354	50
chr1	C1orf233	0.021742638984668206	1533391	59
chr1	MIB2	0.029243034405937448	1550794	65
chr1	MMP23B	0.006579939243364795	1567473	2
chr1	CDK11B	0.03563157869977505	1570602	38
chr1	SLC35E2B	0.03895091102056388	1592938	111
chr1	CDK11A	0.02771439416044948	1634168	123
chr1	SLC35E2	0.03599374508734649	1656276	96
chr1	NADK	0.04147497786566673	1682670	134
chr1	GNB1	0.04562662919959288	1716728	332
chr1	CALML6	0.04740719740290028	1846265	56
chr1	TMEM52	0.05289987694096693	1849028	16
chr1	C1orf222	0.036052958707080425	1853395	534
chr1	GABRD	0.036390055961072816	1950779	123
chr1	PRKCZ	0.04801226151416176	1981908	796
chr1	C1orf86	0.048013416031838244	2115902	100
chr1	AL590822.2	0.053987369281732485	2121236	4
chr1	AL590822.1	0.06069119917357253	2143359	43
chr1	SKI	0.04514689235060863	2160133	488
chr1	MORN1	0.043855678247558365	2252691	525
chr1	AL589739.1	0.03043111405499451	2258580	5
chr1	RER1	0.046134337359944676	2323266	66
chr1	PEX10	0.054008994371339554	2336235	88
chr1	PLCH2	0.04148916121151462	2357418	523
chr1	PANK4	0.0627117789032391	2439971	122
chr1	HES5	0.05057120457397887	2460183	87
chr1	TNFRSF14	0.05857262675403242	2487077	159
chr1	FAM213B	0.050375360961560436	2517929	65
chr1	MMEL1	0.048907823251592014	2522077	267
chr1	TTC34	0.04785568636636242	2567414	1161
chr1	ACTRT2	0.03614984391547295	2938045	850
chr1	PRDM16	0.04276429638748073	2985731	2370
chr1	ARHGEF16	0.033047032048941466	3370989	192
chr1	MEGF6	0.03799590428184702	3406483	792
chr1	TPRG1L	0.045501407336457134	3541565	57
chr1	WRAP73	0.05009231071824893	3547330	87
chr1	TP73	0.0464597166378647	3569083	465
chr1	CCDC27	0.055595853302541375	3668961	126
chr1	SMIM1	0.03133234782614477	3689351	51
chr1	LRRC47	0.033069403771167766	3696783	167
chr1	CEP104	0.03619465835562024	3728644	430
chr1	DFFB	0.04663977912104363	3773844	229
chr1	C1orf174	0.03878216194329775	3805688	2035
chr1	AJAP1	0.03987938855947956	4714791	7701
chr1	NPHP4	0.04351419637492879	5922870	3494
chr1	KCNAB2	0.05286378948976687	6051525	542
chr1	AL035406.1	0.044809164688800626	6100629	5
chr1	CHD5	0.04107852667552787	6161852	450
chr1	RPL22	0.03007224199564224	6241328	85
chr1	RNF207	0.04348916549018143	6265534	65
chr1	ICMT	0.06258757921248106	6281252	78
chr1	HES3	0.03254849541322352	6304251	20
chr1	GPR153	0.034667569650845345	6307405	68
chr1	ACOT7	0.04608980538370999	6324328	774
chr1	HES2	0.04368788414165571	6472477	111
chr1	ESPN	0.03943339523982486	6484847	164
chr1	TNFRSF25	0.04674968108466447	6521210	21
chr1	PLEKHG5	0.031992095006131	6526151	259
chr1	NOL9	0.018276463311039746	6581406	201
chr1	TAS1R1	0.032362977781516374	6615240	99
chr1	ZBTB48	0.03500347190331165	6640060	28
chr1	KLHL21	0.05635935884480749	6650783	107
chr1	PHF13	0.04020370292537878	6673744	38
chr1	THAP3	0.03401181488832533	6684925	42
chr1	DNAJC11	0.038659992095236004	6694227	501
chr1	CAMTA1	0.04746897741585493	6845383	4702
chr1	VAMP3	0.04652196154752762	7831328	60
chr1	PER3	0.05395918206689128	7844379	348
chr1	UTS2	0.05731567457261621	7903142	311
