Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.00296549480639589	738531	71
chr1	AL645608.2	0.0041969886185709475	818042	185
chr1	SAMD11	0.0067379315832537204	860259	202
chr1	AL645608.1	0.004172607318489213	861263	37
chr1	NOC2L	0.004018707968140026	879583	77
chr1	KLHL17	0.002708228977693285	895966	46
chr1	PLEKHN1	0.019347247370360778	901876	62
chr1	C1orf170	0.0026719324917883363	910578	89
chr1	HES4	0.003415491803234995	934341	93
chr1	ISG15	0.004409544212934969	948802	56
chr1	AGRN	0.0022915263125058496	955502	295
chr1	RNF223	0.0022592202695480355	1006345	58
chr1	C1orf159	0.0018780816695079987	1017197	361
chr1	TTLL10	0.004484991277181971	1109263	350
chr1	TNFRSF18	0.007112251525461331	1138887	32
chr1	TNFRSF4	0.007004145945718064	1146705	38
chr1	SDF4	0.005076056235357123	1152287	134
chr1	B3GALT6	0.01523973735541154	1167628	28
chr1	FAM132A	0.007678207065912763	1177825	60
chr1	UBE2J2	0.014252836416998793	1189288	131
chr1	SCNN1D	0.011291854395881875	1215815	98
chr1	ACAP3	0.002982178034236464	1227755	82
chr1	PUSL1	0.005268543689637554	1243946	10
chr1	CPSF3L	0.008867265808052393	1246964	29
chr1	GLTPD1	0.009074402983611708	1260135	33
chr1	TAS1R3	0.011602648587864061	1266693	27
chr1	DVL1	0.007716148882033766	1270655	60
chr1	MXRA8	0.005158651188139386	1288068	134
chr1	AURKAIP1	0.005699476370915664	1309109	85
chr1	CCNL2	0.00868909294998731	1321090	62
chr1	RP4-758J18.2	0.002321070990721935	1334901	10
chr1	MRPL20	0.01333345800118368	1337287	49
chr1	ANKRD65	0.004968451126850707	1353799	48
chr1	TMEM88B	0.007127645441540345	1361507	44
chr1	VWA1	0.006535378213547936	1370240	53
chr1	ATAD3C	0.017720627912888687	1385068	93
chr1	ATAD3B	0.01081025706271373	1407142	165
chr1	ATAD3A	0.007588641584703518	1447530	138
chr1	TMEM240	0.0037147210200060422	1470553	13
chr1	SSU72	0.0048627586721575735	1477052	120
chr1	AL645728.1	0.005727192080729678	1510354	50
chr1	C1orf233	0.0007260903686708973	1533391	59
chr1	MIB2	0.0015642336721576897	1550794	65
chr1	MMP23B	6.457358978773724e-05	1567473	2
chr1	CDK11B	0.0015152877760028197	1570602	38
chr1	SLC35E2B	0.0022028294836216396	1592938	111
chr1	CDK11A	0.0014726316929714138	1634168	123
chr1	SLC35E2	0.002891015062962198	1656276	96
chr1	NADK	0.003232353448389201	1682670	134
chr1	GNB1	0.004573486406724349	1716728	332
chr1	CALML6	0.005184589876487324	1846265	56
chr1	TMEM52	0.0039820553580852255	1849028	16
chr1	C1orf222	0.003122564826261823	1853395	534
chr1	GABRD	0.0024181422295678013	1950779	123
chr1	PRKCZ	0.004641658786726876	1981908	796
chr1	C1orf86	0.004111977487209057	2115902	100
chr1	AL590822.2	0.0041439807995978335	2121236	4
chr1	AL590822.1	0.006509777789153263	2143359	43
chr1	SKI	0.004247301699275453	2160133	488
chr1	MORN1	0.0042041367583889305	2252691	525
chr1	AL589739.1	0.0018008840575224829	2258580	5
chr1	RER1	0.00457646385680091	2323266	66
chr1	PEX10	0.006969122432484728	2336235	88
chr1	PLCH2	0.004607178355359415	2357418	523
chr1	PANK4	0.008872698938190711	2439971	122
chr1	HES5	0.004955392310208318	2460183	87
chr1	TNFRSF14	0.006689813930221485	2487077	159
chr1	FAM213B	0.006409386756134454	2517929	65
chr1	MMEL1	0.004255949329729952	2522077	267
chr1	TTC34	0.00479845993380142	2567414	1161
chr1	ACTRT2	0.003395133880080177	2938045	850
chr1	PRDM16	0.004495240467047076	2985731	2370
chr1	ARHGEF16	0.002287009074108981	3370989	192
chr1	MEGF6	0.003010644778295689	3406483	792
chr1	TPRG1L	0.0032092058477241666	3541565	57
chr1	WRAP73	0.0045429423482398115	3547330	87
chr1	TP73	0.004264421494426087	3569083	465
chr1	CCDC27	0.0052427804260615374	3668961	126
chr1	SMIM1	0.0014608836911889217	3689351	51
chr1	LRRC47	0.001807613864791127	3696783	167
chr1	CEP104	0.002854728318882521	3728644	430
