Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	AL669831.1	0.5423224361879962	738531	71
chr1	AL645608.2	1.8636282765076768	818042	185
chr1	SAMD11	1.766544440903471	860259	202
chr1	AL645608.1	1.1196575298119509	861263	37
chr1	NOC2L	1.7061073329469911	879583	77
chr1	KLHL17	0.899229812150871	895966	46
chr1	PLEKHN1	4.016064450206639	901876	62
chr1	C1orf170	1.1580995629639166	910578	89
chr1	HES4	2.1727412534444217	934341	93
chr1	ISG15	1.276715945132854	948802	56
chr1	AGRN	1.1812029031268747	955502	295
chr1	RNF223	1.1371807374064113	1006345	58
chr1	C1orf159	1.5263437245881084	1017197	361
chr1	TTLL10	3.5590311278828715	1109263	350
chr1	TNFRSF18	1.8846358247775867	1138887	32
chr1	TNFRSF4	2.66373444118804	1146705	38
chr1	SDF4	2.717341640790462	1152287	134
chr1	B3GALT6	2.7250366812511824	1167628	28
chr1	FAM132A	2.541587287154866	1177825	60
chr1	UBE2J2	3.106522313939653	1189288	131
chr1	SCNN1D	2.5937426288198155	1215815	98
chr1	ACAP3	0.911785922558621	1227755	82
chr1	PUSL1	0.9054310525644568	1243946	10
chr1	CPSF3L	0.8021710606080589	1246964	29
chr1	GLTPD1	1.7812912316728122	1260135	33
chr1	TAS1R3	2.4094167242631044	1266693	27
chr1	DVL1	2.55318799100092	1270655	60
chr1	MXRA8	2.6634182005267286	1288068	134
chr1	AURKAIP1	3.392351999896174	1309109	85
chr1	CCNL2	2.2172744693676196	1321090	62
chr1	RP4-758J18.2	0.36157364542198933	1334901	10
chr1	MRPL20	3.2997940168249893	1337287	49
chr1	ANKRD65	1.3345156338373396	1353799	48
chr1	TMEM88B	2.0598352766417696	1361507	44
chr1	VWA1	2.0529168942717564	1370240	53
chr1	ATAD3C	2.307117845277381	1385068	93
chr1	ATAD3B	1.7067545990404878	1407142	165
chr1	ATAD3A	1.4978283421418768	1447530	138
chr1	TMEM240	1.0416956243324784	1470553	13
chr1	SSU72	1.631714975035393	1477052	120
chr1	AL645728.1	1.0925784269752403	1510354	50
chr1	C1orf233	1.0447949068988702	1533391	59
chr1	MIB2	1.2252283715153558	1550794	65
chr1	MMP23B	0	1567473	2
chr1	CDK11B	0.8457312684934393	1570602	38
chr1	SLC35E2B	1.517337900715035	1592938	111
chr1	CDK11A	1.290602822946932	1634168	123
