Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	AL669831.1	2.1553401980261278	738531	71
chr1	AL645608.2	2.015816207651263	818042	185
chr1	SAMD11	1.8777611784737949	860259	202
chr1	AL645608.1	1.2014128808100795	861263	37
chr1	NOC2L	1.7124535490556743	879583	77
chr1	KLHL17	1.06455823596226	895966	46
chr1	PLEKHN1	4.509368815120576	901876	62
chr1	C1orf170	3.8737191977471426	910578	89
chr1	HES4	2.940398720237246	934341	93
chr1	ISG15	2.0201781150208387	948802	56
chr1	AGRN	1.6975997975615114	955502	295
chr1	RNF223	1.4465441992268273	1006345	58
chr1	C1orf159	1.8812460173596088	1017197	361
chr1	TTLL10	5.156925515880412	1109263	350
chr1	TNFRSF18	1.8918782910583507	1138887	32
chr1	TNFRSF4	2.76251407110426	1146705	38
chr1	SDF4	2.853716886840413	1152287	134
chr1	B3GALT6	2.7597903330051916	1167628	28
chr1	FAM132A	2.7540064200058088	1177825	60
chr1	UBE2J2	3.6220256972589624	1189288	131
chr1	SCNN1D	3.1609275253586406	1215815	98
chr1	ACAP3	0.9800657624674043	1227755	82
chr1	PUSL1	0.9616262598039548	1243946	10
chr1	CPSF3L	2.2706820998800015	1246964	29
chr1	GLTPD1	2.609439324301481	1260135	33
chr1	TAS1R3	2.703488375338701	1266693	27
chr1	DVL1	2.5551779193128112	1270655	60
chr1	MXRA8	3.316907011871367	1288068	134
chr1	AURKAIP1	3.4546495799755808	1309109	85
chr1	CCNL2	2.7360232563165563	1321090	62
chr1	RP4-758J18.2	0.7748174059742134	1334901	10
chr1	MRPL20	3.6491823439014017	1337287	49
chr1	ANKRD65	2.5793001486051135	1353799	48
chr1	TMEM88B	2.4066906678268944	1361507	44
chr1	VWA1	2.3304005015126164	1370240	53
chr1	ATAD3C	2.5659279447105923	1385068	93
chr1	ATAD3B	1.9154415946343213	1407142	165
chr1	ATAD3A	1.6440066682811607	1447530	138
chr1	TMEM240	1.5443467336595729	1470553	13
chr1	SSU72	1.653271581841602	1477052	120
chr1	AL645728.1	1.6653733697188178	1510354	50
chr1	C1orf233	1.388174766862957	1533391	59
chr1	MIB2	1.2265895213504336	1550794	65
chr1	MMP23B	0.14623306078200907	1567473	2
chr1	CDK11B	0.8522216826266451	1570602	38
chr1	SLC35E2B	1.6560146995549931	1592938	111
chr1	CDK11A	1.8152830231995167	1634168	123
chr1	SLC35E2	2.1376771676612236	1656276	96
chr1	NADK	1.6274525156731594	1682670	134
chr1	GNB1	2.117135786519865	1716728	332
chr1	CALML6	1.9243545123809347	1846265	56
chr1	TMEM52	1.1348190086102954	1849028	16
chr1	C1orf222	2.3181123261434746	1853395	534
chr1	GABRD	1.2605455401776051	1950779	123
