Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	AL669831.1	1.5638007655880537	738531	67
chr1	AL645608.2	1.7212189707881447	818042	175
chr1	SAMD11	2.4273595411222457	860259	183
chr1	AL645608.1	1.1274690548865818	861263	37
chr1	NOC2L	2.0994777548559442	879583	74
chr1	KLHL17	2.0194989529896272	895966	44
chr1	PLEKHN1	4.995674326293279	901876	54
chr1	C1orf170	2.4689555947317627	910578	85
chr1	HES4	2.308303324727926	934341	89
chr1	ISG15	2.2088927777691687	948802	53
chr1	AGRN	2.5740958738371003	955502	264
chr1	RNF223	1.8619595369308073	1006345	52
chr1	C1orf159	3.627262854157231	1017197	347
chr1	TTLL10	2.7091154491165104	1109263	340
chr1	TNFRSF18	1.7475329104140052	1138887	32
chr1	TNFRSF4	1.1463115204221006	1146705	33
chr1	SDF4	1.1679607624127584	1152287	130
chr1	B3GALT6	1.7185802598460098	1167628	28
chr1	FAM132A	0.8470484868347434	1177825	57
chr1	UBE2J2	1.1367158116578662	1189288	121
chr1	SCNN1D	1.4047485511372015	1215815	91
chr1	ACAP3	1.0300210814604869	1227755	78
chr1	PUSL1	0.7842699308554181	1243946	9
chr1	CPSF3L	1.145417676881534	1246964	26
chr1	GLTPD1	1.005382860954395	1260135	33
chr1	TAS1R3	1.3278420842143068	1266693	25
chr1	DVL1	0.7509019701049484	1270655	57
chr1	MXRA8	0.997475415205293	1288068	132
chr1	AURKAIP1	0.9769863650724653	1309109	85
chr1	CCNL2	1.0282353811226022	1321090	58
chr1	RP4-758J18.2	0.6904805492006384	1334901	10
chr1	MRPL20	0.7723060724029873	1337287	47
chr1	ANKRD65	1.219209039489859	1353799	48
chr1	TMEM88B	0.746763794373208	1361507	41
chr1	VWA1	0.8155016318581314	1370240	52
chr1	ATAD3C	1.257096632494638	1385068	91
chr1	ATAD3B	1.2284029662149019	1407142	162
chr1	ATAD3A	2.6934977714035306	1447530	133
chr1	TMEM240	0.8895348726521093	1470553	12
chr1	SSU72	1.3139834444369327	1477052	118
chr1	AL645728.1	0.7549811292622469	1510354	50
chr1	C1orf233	0.9907531260412169	1533391	59
chr1	MIB2	0.9930934685854598	1550794	65
chr1	MMP23B	0.5427859470423625	1567473	2
chr1	CDK11B	0.6699557370523099	1570602	38
chr1	SLC35E2B	2.0891345058912685	1592938	108
chr1	CDK11A	0.8966102529157634	1634168	122
chr1	SLC35E2	1.835433024386682	1656276	96
chr1	NADK	2.8129391979333147	1682670	126
chr1	GNB1	4.098755336467478	1716728	319
chr1	CALML6	1.1571505920742178	1846265	55
chr1	TMEM52	1.1283465173023457	1849028	16
chr1	C1orf222	2.045214479521658	1853395	503
chr1	GABRD	2.2162235847666247	1950779	117
chr1	PRKCZ	2.436086022539422	1981908	699
chr1	C1orf86	1.2091527990045154	2115902	92
chr1	AL590822.2	0.44560534112663075	2121236	4
chr1	AL590822.1	0.5933985117314038	2143359	39
chr1	SKI	1.9958635632386443	2160133	452
chr1	MORN1	1.8740082910655915	2252691	495
chr1	AL589739.1	0.7004186182437745	2258580	4
chr1	RER1	2.1747472451202987	2323266	63
chr1	PEX10	3.0446923635376315	2336235	86
chr1	PLCH2	2.729878069730093	2357418	506
chr1	PANK4	2.1262383511126726	2439971	115
chr1	HES5	1.7359073930643412	2460183	82
chr1	TNFRSF14	2.735486761969774	2487077	149
chr1	FAM213B	1.4599584815476743	2517929	63
chr1	MMEL1	2.772226380860836	2522077	259
chr1	TTC34	2.5917905720925023	2567414	1094
chr1	ACTRT2	2.0837429762548667	2938045	797
chr1	PRDM16	4.630982775654997	2985731	2259
chr1	ARHGEF16	1.5516694068439767	3370989	179
chr1	MEGF6	2.5455774490117205	3406483	753
chr1	TPRG1L	1.3770434399934859	3541565	57
chr1	WRAP73	2.921351090815646	3547330	85
chr1	TP73	2.4473719306114314	3569083	445
chr1	CCDC27	1.45098937711317	3668961	119
chr1	SMIM1	1.7142469650518806	3689351	51
chr1	LRRC47	2.492692062508161	3696783	163
chr1	CEP104	3.1670493535180277	3728644	419
chr1	DFFB	1.9784964681565456	3773844	226
chr1	C1orf174	2.002453733787999	3805688	1952
chr1	AJAP1	2.8775580196939052	4714791	7254
chr1	NPHP4	3.3324349855736473	5922870	3249
chr1	KCNAB2	1.9425773517657512	6051525	485
chr1	AL035406.1	0.789363167751889	6100629	4
chr1	CHD5	2.1741145131660997	6161852	421
chr1	RPL22	3.5133329553151444	6241328	80
chr1	RNF207	1.852710230730486	6265534	53
chr1	ICMT	2.2007063293062212	6281252	62
chr1	HES3	0.9825909914637889	6304251	19
chr1	GPR153	1.3129662562112563	6307405	65
chr1	ACOT7	2.394666935763858	6324328	756
chr1	HES2	1.4424687381247006	6472477	111
chr1	ESPN	1.44854024271022	6484847	160
chr1	TNFRSF25	0.5732919681163504	6521210	20
chr1	PLEKHG5	1.84843404127094	6526151	246
chr1	NOL9	1.8010186875902425	6581406	191
chr1	TAS1R1	1.31328599362153	6615240	94
chr1	ZBTB48	0.944996485772082	6640060	27
chr1	KLHL21	2.843556860956623	6650783	97
chr1	PHF13	1.715294112159788	6673744	38
chr1	THAP3	1.3219571468602271	6684925	40
