Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.009594468367351849	738531	67
chr1	AL645608.2	0.018790960258498402	818042	175
chr1	SAMD11	0.022244975716585787	860259	183
chr1	AL645608.1	0.014871460691311516	861263	37
chr1	NOC2L	0.021343464242658258	879583	74
chr1	KLHL17	0.028765255478420605	895966	44
chr1	PLEKHN1	0.023522499019583993	901876	54
chr1	C1orf170	0.025077294894240123	910578	85
chr1	HES4	0.021617037035945565	934341	89
chr1	ISG15	0.023815114666406144	948802	53
chr1	AGRN	0.032670110793588183	955502	264
chr1	RNF223	0.02335330198867923	1006345	52
chr1	C1orf159	0.022595371926164176	1017197	347
chr1	TTLL10	0.01785729345553294	1109263	340
chr1	TNFRSF18	0.021902888804028523	1138887	32
chr1	TNFRSF4	0.018553586561675054	1146705	33
chr1	SDF4	0.013364907877026946	1152287	130
chr1	B3GALT6	0.01586600452635903	1167628	28
chr1	FAM132A	0.014143453662055857	1177825	57
chr1	UBE2J2	0.014899339065982077	1189288	121
chr1	SCNN1D	0.01803973857005629	1215815	91
chr1	ACAP3	0.015909670334753653	1227755	78
chr1	PUSL1	0.014936922897283763	1243946	9
chr1	CPSF3L	0.020913975266679898	1246964	26
chr1	GLTPD1	0.020375208453369747	1260135	33
chr1	TAS1R3	0.022622223152134125	1266693	25
chr1	DVL1	0.01767367812632469	1270655	57
chr1	MXRA8	0.017083726388622936	1288068	132
chr1	AURKAIP1	0.014762250510292797	1309109	85
chr1	CCNL2	0.014576938203307093	1321090	58
chr1	RP4-758J18.2	0.014971683655823765	1334901	10
chr1	MRPL20	0.015653493879313807	1337287	47
chr1	ANKRD65	0.015342893186539553	1353799	48
chr1	TMEM88B	0.011782684537643162	1361507	41
chr1	VWA1	0.015338003478010806	1370240	52
chr1	ATAD3C	0.031322890150998595	1385068	91
chr1	ATAD3B	0.029149273175202575	1407142	162
chr1	ATAD3A	0.018151511676358874	1447530	133
chr1	TMEM240	0.01860159061626693	1470553	12
chr1	SSU72	0.008680510022910601	1477052	118
chr1	AL645728.1	0.022023055298710695	1510354	50
chr1	C1orf233	0.014899829647324277	1533391	59
chr1	MIB2	0.016422936045064826	1550794	65
chr1	MMP23B	0.010823580534133341	1567473	2
chr1	CDK11B	0.01047071985521322	1570602	38
chr1	SLC35E2B	0.009611825790546853	1592938	108
chr1	CDK11A	0.018549244589263932	1634168	122
chr1	SLC35E2	0.026506858774407588	1656276	96
chr1	NADK	0.024029869711501898	1682670	126
chr1	GNB1	0.02257084937951777	1716728	319
chr1	CALML6	0.01984548639864259	1846265	55
chr1	TMEM52	0.024527113588487543	1849028	16
chr1	C1orf222	0.01614789924252658	1853395	503
chr1	GABRD	0.019239166769342512	1950779	117
chr1	PRKCZ	0.018285639599424645	1981908	699
chr1	C1orf86	0.01848943944255097	2115902	92
chr1	AL590822.2	0.006853336213857057	2121236	4
chr1	AL590822.1	0.014789447531161546	2143359	39
chr1	SKI	0.016775034633113837	2160133	452
chr1	MORN1	0.016702504783523652	2252691	495
chr1	AL589739.1	0.01387729571294085	2258580	4
chr1	RER1	0.021213544691181953	2323266	63
chr1	PEX10	0.020552798628016507	2336235	86
chr1	PLCH2	0.020814849490389576	2357418	506
chr1	PANK4	0.025967740922281164	2439971	115
chr1	HES5	0.01697484872520213	2460183	82
chr1	TNFRSF14	0.019721040818361464	2487077	149
chr1	FAM213B	0.014944613004531197	2517929	63
chr1	MMEL1	0.027248986079713145	2522077	259
chr1	TTC34	0.019378323267016818	2567414	1094
chr1	ACTRT2	0.02327766893231462	2938045	797
chr1	PRDM16	0.018407331585993544	2985731	2259
chr1	ARHGEF16	0.018223339390052034	3370989	179
chr1	MEGF6	0.0219233644470333	3406483	753
chr1	TPRG1L	0.014048059653668406	3541565	57
chr1	WRAP73	0.023159284347165136	3547330	85
chr1	TP73	0.0157342916752879	3569083	445
chr1	CCDC27	0.014044991434737515	3668961	119
chr1	SMIM1	0.018432882660046022	3689351	51
chr1	LRRC47	0.01743920048928032	3696783	163
chr1	CEP104	0.01866279959258505	3728644	419
chr1	DFFB	0.01918269613057256	3773844	226
chr1	C1orf174	0.017220103529488426	3805688	1952
chr1	AJAP1	0.01600328301383884	4714791	7254
chr1	NPHP4	0.017923893387459894	5922870	3249
chr1	KCNAB2	0.014882037384418394	6051525	485
chr1	AL035406.1	0.017550036239632052	6100629	4
chr1	CHD5	0.019522538380821543	6161852	421
chr1	RPL22	0.027381197440526066	6241328	80
chr1	RNF207	0.02116088197290073	6265534	53
chr1	ICMT	0.017010250790640936	6281252	62
chr1	HES3	0.01848797130330874	6304251	19
chr1	GPR153	0.020204256403970278	6307405	65
chr1	ACOT7	0.013748410201980192	6324328	756
chr1	HES2	0.011887285920326868	6472477	111
chr1	ESPN	0.011306056117923577	6484847	160
chr1	TNFRSF25	0.015335816070770007	6521210	20
chr1	PLEKHG5	0.018606962569015326	6526151	246
chr1	NOL9	0.023411868606993392	6581406	191
