Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	AL669831.1	0.6804234495774475	738531	67
chr1	AL645608.2	1.5649124876954077	818042	175
chr1	SAMD11	2.238181876119015	860259	183
chr1	AL645608.1	0.6801925541742305	861263	37
chr1	NOC2L	1.4610142840297422	879583	74
chr1	KLHL17	1.970758304496476	895966	44
chr1	PLEKHN1	4.0800092790459805	901876	54
chr1	C1orf170	2.243116011543172	910578	85
chr1	HES4	2.1539432281895903	934341	89
chr1	ISG15	1.4964408208346764	948802	53
chr1	AGRN	2.463097035996488	955502	264
chr1	RNF223	1.7406689750823459	1006345	52
chr1	C1orf159	2.842549276368268	1017197	347
chr1	TTLL10	2.0477307683620896	1109263	340
chr1	TNFRSF18	1.1015364609305502	1138887	32
chr1	TNFRSF4	0.7141997340720443	1146705	33
chr1	SDF4	1.1216488537106888	1152287	130
chr1	B3GALT6	1.347516747796047	1167628	28
chr1	FAM132A	0.6549499050741844	1177825	57
chr1	UBE2J2	1.1152901444250236	1189288	121
chr1	SCNN1D	1.2245592257280242	1215815	91
chr1	ACAP3	0.6780413601595127	1227755	78
chr1	PUSL1	0.23554588852417213	1243946	9
chr1	CPSF3L	0.7747372523187095	1246964	26
chr1	GLTPD1	0.8663046460641426	1260135	33
chr1	TAS1R3	0.7744762091038976	1266693	25
chr1	DVL1	0.7316490624752945	1270655	57
chr1	MXRA8	0.972723800313184	1288068	132
chr1	AURKAIP1	0.8089627964114847	1309109	85
chr1	CCNL2	0.7972039170068222	1321090	58
chr1	RP4-758J18.2	0.5309117515185962	1334901	10
chr1	MRPL20	0.7718435512413666	1337287	47
chr1	ANKRD65	1.0023288397722783	1353799	48
chr1	TMEM88B	0.7172012148223238	1361507	41
chr1	VWA1	0.7735264065101521	1370240	52
chr1	ATAD3C	1.1004169476188752	1385068	91
chr1	ATAD3B	1.22525974023716	1407142	162
chr1	ATAD3A	0.9718152298582563	1447530	133
chr1	TMEM240	0.7740062101538772	1470553	12
chr1	SSU72	1.3092644891208975	1477052	118
chr1	AL645728.1	0.6824986882298125	1510354	50
chr1	C1orf233	0.9135796570969701	1533391	59
chr1	MIB2	0.9732665894145078	1550794	65
chr1	MMP23B	0	1567473	2
chr1	CDK11B	0.6656628806195466	1570602	38
chr1	SLC35E2B	1.3271884529808144	1592938	108
chr1	CDK11A	0.860520774426739	1634168	122
chr1	SLC35E2	1.7736837030606651	1656276	96
chr1	NADK	2.078802185579752	1682670	126
chr1	GNB1	3.905612733578345	1716728	319
chr1	CALML6	1.1534705293597507	1846265	55
chr1	TMEM52	1.0923930357671765	1849028	16
chr1	C1orf222	1.7110312738329445	1853395	503
chr1	GABRD	1.6069392357744385	1950779	117
chr1	PRKCZ	1.8913335174460282	1981908	699
chr1	C1orf86	1.109106935595392	2115902	92
chr1	AL590822.2	0.12007247172235733	2121236	4
chr1	AL590822.1	0.5418579071814833	2143359	39
