Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.00023430722999608745	738531	67
chr1	AL645608.2	-7.736539026669779e-05	818042	175
chr1	SAMD11	-0.00010094237042137189	860259	183
chr1	AL645608.1	-0.00033497003691656526	861263	37
chr1	NOC2L	-0.00036108939223135665	879583	74
chr1	KLHL17	-0.0010162200215872897	895966	44
chr1	PLEKHN1	-0.0013498843720844047	901876	54
chr1	C1orf170	8.866361306146501e-05	910578	85
chr1	HES4	8.168329033588784e-05	934341	89
chr1	ISG15	0.0008225733831614662	948802	53
chr1	AGRN	0.0006420890715155147	955502	264
chr1	RNF223	-0.0005885813301808322	1006345	52
chr1	C1orf159	0.0002123954465942603	1017197	347
chr1	TTLL10	0.00021845423821438372	1109263	340
chr1	TNFRSF18	0.00020298342294446675	1138887	32
chr1	TNFRSF4	8.255574858090213e-07	1146705	33
chr1	SDF4	4.2978736278561504e-05	1152287	130
chr1	B3GALT6	0.0003412533473744825	1167628	28
chr1	FAM132A	7.69247534268425e-05	1177825	57
chr1	UBE2J2	0.00022029859172175868	1189288	121
chr1	SCNN1D	0.00041039006302301287	1215815	91
chr1	ACAP3	3.921003513549586e-05	1227755	78
chr1	PUSL1	-0.00045081571672970274	1243946	9
chr1	CPSF3L	-0.00012268921314065637	1246964	26
chr1	GLTPD1	-0.00018982423017915235	1260135	33
chr1	TAS1R3	-0.0006139187128657166	1266693	25
chr1	DVL1	-0.00017363865581992348	1270655	57
chr1	MXRA8	-0.00018038611722867755	1288068	132
chr1	AURKAIP1	-8.916372363657011e-05	1309109	85
chr1	CCNL2	-0.00016824478264540417	1321090	58
chr1	RP4-758J18.2	0.00029990677644326457	1334901	10
chr1	MRPL20	5.206067397872278e-05	1337287	47
chr1	ANKRD65	0.00019664171082370077	1353799	48
chr1	TMEM88B	-0.00011608019795629819	1361507	41
chr1	VWA1	0.0001711143555637492	1370240	52
chr1	ATAD3C	0.0008823322253396008	1385068	91
chr1	ATAD3B	0.0007077432406673262	1407142	162
chr1	ATAD3A	0.00026555212707332686	1447530	133
chr1	TMEM240	-0.0006984653812865332	1470553	12
chr1	SSU72	1.0032205230877375e-05	1477052	118
chr1	AL645728.1	-0.0006055913743498336	1510354	50
chr1	C1orf233	0.00018826811649281922	1533391	59
chr1	MIB2	0.0002917715058194895	1550794	65
chr1	MMP23B	-0.00013137669845037032	1567473	2
chr1	CDK11B	-9.810854891657249e-05	1570602	38
chr1	SLC35E2B	-9.29194432397898e-06	1592938	108
chr1	CDK11A	-0.00010650284788533107	1634168	122
chr1	SLC35E2	-8.824757923769489e-05	1656276	96
chr1	NADK	-6.508105459796417e-05	1682670	126
chr1	GNB1	0.00032141120199775795	1716728	319
chr1	CALML6	-0.00028860715587185326	1846265	55
chr1	TMEM52	-0.0006197369258989063	1849028	16
chr1	C1orf222	-0.00020392877461059185	1853395	503
chr1	GABRD	-0.00024820645919962353	1950779	117
chr1	PRKCZ	-7.986385259262675e-06	1981908	699
chr1	C1orf86	-0.00011897040760196387	2115902	92
chr1	AL590822.2	-0.00012114973963124388	2121236	4
chr1	AL590822.1	6.433876820961732e-05	2143359	39
chr1	SKI	7.634446135178741e-05	2160133	452
chr1	MORN1	4.469391823063888e-05	2252691	495
chr1	AL589739.1	-0.0002425004462193239	2258580	4
chr1	RER1	0.00014351907738864732	2323266	63
chr1	PEX10	0.0008451700609996706	2336235	86
chr1	PLCH2	-8.433899680527125e-05	2357418	506
chr1	PANK4	-0.0005785599387401537	2439971	115
chr1	HES5	-0.00012077443726121535	2460183	82
chr1	TNFRSF14	0.0004391737803760739	2487077	149
chr1	FAM213B	0.0001279612761835808	2517929	63
chr1	MMEL1	0.00029392124663067063	2522077	259
chr1	TTC34	-3.2976242100026954e-05	2567414	1094
chr1	ACTRT2	-0.00040825126886602655	2938045	797
chr1	PRDM16	8.547854142656791e-05	2985731	2259
chr1	ARHGEF16	2.87032223350259e-05	3370989	179
chr1	MEGF6	0.00040386898498874344	3406483	753
chr1	TPRG1L	0.00021917343455450284	3541565	57
chr1	WRAP73	0.0004061269020223992	3547330	85
chr1	TP73	0.0001136697528080862	3569083	445
chr1	CCDC27	-8.50700721267908e-05	3668961	119
chr1	SMIM1	-0.00013269054012594848	3689351	51
chr1	LRRC47	1.5367655020295498e-05	3696783	163
chr1	CEP104	0.0002987532367312796	3728644	419
chr1	DFFB	0.0004943322081738117	3773844	226
chr1	C1orf174	-0.0001748655547080612	3805688	1952
chr1	AJAP1	9.726377351892435e-05	4714791	7254
chr1	NPHP4	4.892568430257608e-06	5922870	3249
chr1	KCNAB2	0.00012958241211948873	6051525	485
chr1	AL035406.1	0.00041476381976312735	6100629	4
chr1	CHD5	0.00019380592301518747	6161852	421
chr1	RPL22	-6.34347304762819e-05	6241328	80
chr1	RNF207	0.00037519293492975665	6265534	53
chr1	ICMT	-0.00011320581502271799	6281252	62
chr1	HES3	0.00027346435754829925	6304251	19
chr1	GPR153	0.0002560462124192223	6307405	65
chr1	ACOT7	2.0743241743026053e-05	6324328	756
chr1	HES2	9.840055557500033e-05	6472477	111
chr1	ESPN	-0.00014910714353335352	6484847	160
chr1	TNFRSF25	0.00017263467197647375	6521210	20
chr1	PLEKHG5	0.00020554971512066114	6526151	246
chr1	NOL9	-3.107323424681524e-05	6581406	191
chr1	TAS1R1	0.0002168381639678657	6615240	94
chr1	ZBTB48	0.00024271772196201292	6640060	27
chr1	KLHL21	0.00013712972925668945	6650783	97
chr1	PHF13	-0.0006815189892888626	6673744	38
chr1	THAP3	0.00018827812549827245	6684925	40
chr1	DNAJC11	6.662066628058956e-05	6694227	466
chr1	CAMTA1	0.000132164967763717	6845383	4474
chr1	VAMP3	-9.623955763297896e-05	7831328	57
chr1	PER3	-1.6635975259922607e-05	7844379	330
chr1	UTS2	-0.00012546142395593714	7903142	304
chr1	TNFRSF9	-1.4623008447626776e-06	7979906	282
chr1	PARK7	-3.7102979567667844e-05	8014350	152
chr1	ERRFI1	-3.3452763244706326e-05	8064463	668
chr1	SLC45A1	0.000114405399438965	8377885	843
chr1	RERE	4.135454403401288e-05	8412456	1329
chr1	ENO1	0.000259967624724325	8921060	280
chr1	CA6	0.0002431545639403875	9005925	446
chr1	SLC2A7	-0.00024762545907600775	9063358	182
chr1	SLC2A5	-0.0001505913899164759	9095165	375
chr1	GPR157	0.00032796544577805357	9160363	353
chr1	H6PD	-0.00011337634092763058	9294833	573
chr1	SPSB1	-4.3259301668326834e-05	9352938	1057
chr1	SLC25A33	0.00017288266411275534	9599540	398
chr1	TMEM201	0.00013285826560433114	9648931	117
chr1	PIK3CD	0.00029784974302140643	9711789	333
chr1	C1orf200	-0.0006874178374462738	9712667	10
chr1	CLSTN1	6.689840161184428e-05	9789083	323
chr1	CTNNBIP1	0.00034728556349592247	9908333	246
chr1	LZIC	0.0001717340389774112	9982172	106
chr1	NMNAT1	-3.7099273969331134e-05	10003485	174
chr1	RBP7	0.00038898827682592085	10057263	113
chr1	UBE4B	0.00013613380871264365	10092889	692
chr1	KIF1B	7.028362103051792e-06	10270862	937
chr1	PGD	-0.00023922259094405056	10458648	146
chr1	APITD1	-6.089245233953449e-05	10490158	34
chr1	APITD1-CORT	-0.00017210378376442882	10490158	101
chr1	CORT	-0.0002432246403436665	10509775	5
chr1	DFFA	-0.0002951704083703605	10516578	65
chr1	PEX14	4.157014790546359e-05	10532344	630
chr1	CASZ1	3.541108703578739e-05	10696660	1019
chr1	C1orf127	-9.440814606737131e-05	11006527	582
chr1	TARDBP	-0.0008590288852284342	11072413	86
chr1	MASP2	-0.0011953412253659958	11086579	98
chr1	SRM	-0.0012335982911405611	11114640	33
chr1	EXOSC10	-0.0006966191236846448	11126674	166
chr1	MTOR	-0.0007420114842147496	11166591	505
chr1	ANGPTL7	-0.0005615702474800218	11249397	22
chr1	UBIAD1	-0.0001932555611484397	11333262	432
chr1	PTCHD2	0.0001208829586051364	11539222	973
chr1	FBXO2	0.00019837659085672872	11708423	287
chr1	FBXO44	0.000323591257682266	11714431	37
chr1	FBXO6	0.000531539927166147	11724180	62
chr1	MAD2L2	-0.00019104863977983128	11734536	79
chr1	DRAXIN	4.305843594805446e-05	11751785	167
chr1	AGTRAP	2.246423325972683e-05	11796140	102
chr1	C1orf167	0.00036896026634737145	11821843	177
chr1	MTHFR	0.00019104494143121575	11845779	103
chr1	CLCN6	0.000373742763497656	11866206	255
