chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	16	4.5877335E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	79	7.67270308E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	127	7.28112264E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	178	7.76814947E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	183	4.78467257E-1	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	228	5.67330664E-1	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	257	6.5883576E-1	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	217	6.47799716E-1	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	225	6.48392564E-1	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	214	6.6684313E-1	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	221	8.48633485E-1	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	223	8.81283949E-1	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	300	9.46072891E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	235	9.55452706E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	313	9.40486554E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	298	9.17073976E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	291	6.17740325E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	292	6.14336277E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	286	6.02784629E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	380	5.92535933E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	319	5.11141463E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	306	4.88821043E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	306	3.70572403E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	266	3.08684646E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	219	2.55695652E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	196	2.76467498E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	113	2.44898501E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	105	2.31581356E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	85	1.88958481E-1	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	142	3.79617997E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	158	4.16949329E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	158	6.13630845E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	166	7.43971259E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	180	7.53419628E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	196	7.79719174E-1	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	220	5.7167338E-1	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	215	5.53670073E-1	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	225	5.27759324E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	178	4.470425E-1	DAVIES_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	149	3.77187422E-1	DAVIES_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	138	3.38721124E-1	DAVIES_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	145	3.67004765E-1	DAVIES_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	155	2.83809712E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	113	5.00961513E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	114	5.08856041E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	169	4.53628188E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	146	3.70949108E-1	DAVIES_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	164	3.50528234E-1	DAVIES_SUCCESS
chr1	1567559	1570030	+	8510	MMP23B	155	2.46256391E-1	DAVIES_SUCCESS
chr1	1571099	1655775	-	984	CDK11B	309	2.81180565E-1	DAVIES_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	304	2.89736822E-1	DAVIES_SUCCESS
chr1	1631377	1633247	+	8511	MMP23A	177	2.63237187E-1	DAVIES_SUCCESS
chr1	1634169	1655791	-	728642	CDK11A	224	2.68329308E-1	DAVIES_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	215	2.61667425E-1	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	208	3.93313089E-1	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	320	3.78228933E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	235	4.4213567E-1	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	255	4.93573868E-1	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	431	7.11903102E-1	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	305	6.65318523E-1	DAVIES_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	516	3.72305981E-1	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	224	2.60122585E-1	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	453	2.36142973E-1	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	512	3.35293727E-1	DAVIES_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	309	3.56603228E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	337	7.72888843E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	307	7.78864834E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	266	8.12704113E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	204	5.05527529E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	154	4.18944587E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	183	2.07138808E-1	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	192	1.91564401E-1	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	207	1.83108622E-1	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	197	1.35493484E-1	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	205	1.38215403E-1	DAVIES_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	213	1.44791039E-1	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	272	9.85498974E-1	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	293	9.984907E-1	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	1263	7.05677288E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	302	9.99704107E-1	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	319	8.95466845E-1	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	531	3.27293737E-1	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	268	1.77980442E-1	DAVIES_SUCCESS
chr1	3541555	3546694	+	127262	TPRG1L	282	5.5822187E-2	DAVIES_SUCCESS
chr1	3547330	3566671	-	49856	WRAP73	321	7.6296676E-2	DAVIES_SUCCESS
chr1	3569128	3652765	+	7161	TP73	489	2.01611448E-1	DAVIES_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	305	1.65640703E-1	DAVIES_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	345	3.16363835E-1	DAVIES_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	313	5.08835987E-1	DAVIES_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	410	4.54728223E-1	DAVIES_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	617	2.49260354E-1	DAVIES_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	514	1.82652701E-1	DAVIES_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	375	9.66671722E-2	DAVIES_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	312	8.02065108E-2	DAVIES_SUCCESS
chr1	4000671	4012643	+	728716	LOC728716	194	6.97997046E-1	DAVIES_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	429	3.92391013E-1	DAVIES_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	746	6.83692063E-1	DAVIES_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	275	4.53730429E-1	DAVIES_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	276	6.89930343E-1	DAVIES_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	562	5.58506412E-1	DAVIES_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	502	1.81131845E-1	DAVIES_SUCCESS
chr1	6161846	6240194	-	26038	CHD5	402	2.33497329E-1	DAVIES_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	230	6.26622705E-1	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	173	6.01155899E-1	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	152	6.19741443E-1	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	131	5.13457218E-1	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	152	4.48884021E-1	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	412	3.98384115E-1	DAVIES_SUCCESS
chr1	6472497	6484730	-	54626	HES2	239	7.1592804E-1	DAVIES_SUCCESS
chr1	6484847	6521004	+	83715	ESPN	281	8.5913039E-1	DAVIES_SUCCESS
chr1	6489893	6489956	-	100422975	MIR4252	215	7.58236979E-1	DAVIES_SUCCESS
chr1	6521213	6526255	-	8718	TNFRSF25	217	9.38204039E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	347	9.89113153E-1	DAVIES_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	263	9.98714421E-1	DAVIES_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	241	9.95287019E-1	DAVIES_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	189	9.98522446E-1	DAVIES_SUCCESS
chr1	6650778	6662929	-	9903	KLHL21	182	9.95659908E-1	DAVIES_SUCCESS
chr1	6673755	6684093	+	148479	PHF13	157	9.7837715E-1	DAVIES_SUCCESS
chr1	6684924	6695646	+	90326	THAP3	155	9.59807791E-1	DAVIES_SUCCESS
chr1	6694227	6761966	-	55735	DNAJC11	276	9.45665428E-1	DAVIES_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	2309	8.93002562E-3	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	274	3.49742181E-2	DAVIES_SUCCESS
chr1	7844379	7905237	+	8863	PER3	487	1.73177625E-2	DAVIES_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	436	1.53484E-2	DAVIES_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	237	4.59122475E-2	DAVIES_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	147	1.24147727E-1	DAVIES_SUCCESS
chr1	8071778	8086393	-	54206	ERRFI1	159	1.56951126E-1	DAVIES_SUCCESS
chr1	8384389	8404227	+	50651	SLC45A1	246	7.4205502E-3	DAVIES_SUCCESS
chr1	8412463	8877699	-	473	RERE	724	5.4101901E-6	DAVIES_SUCCESS
chr1	8921058	8939151	-	2023	ENO1	226	3.06267195E-4	DAVIES_SUCCESS
chr1	8938893	8939943	+	100505975	ENO1-AS1	210	8.51858773E-4	DAVIES_SUCCESS
chr1	9005892	9035148	+	765	CA6	356	4.52729039E-3	DAVIES_SUCCESS
chr1	9063358	9086404	-	155184	SLC2A7	299	5.73987143E-2	DAVIES_SUCCESS
chr1	9097004	9148510	-	6518	SLC2A5	364	2.13259802E-1	DAVIES_SUCCESS
chr1	9164475	9189229	-	80045	GPR157	270	3.80242048E-1	DAVIES_SUCCESS
chr1	9211726	9211836	-	407040	MIR34A	180	4.03256467E-1	DAVIES_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	433	8.22997105E-2	DAVIES_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	521	4.20076249E-2	DAVIES_SUCCESS
chr1	9599527	9642831	+	84275	SLC25A33	148	6.16368231E-1	DAVIES_SUCCESS
chr1	9648931	9674935	+	199953	TMEM201	162	5.98016042E-1	DAVIES_SUCCESS
chr1	9711789	9789172	+	5293	PIK3CD	211	4.27878316E-1	DAVIES_SUCCESS
chr1	9712667	9714644	-	644997	C1orf200	160	8.11031702E-1	DAVIES_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	205	1.56091518E-1	DAVIES_SUCCESS
chr1	9908333	9970316	-	56998	CTNNBIP1	192	3.05498128E-1	DAVIES_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	118	4.28999811E-1	DAVIES_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	141	3.04609862E-1	DAVIES_SUCCESS
chr1	10057254	10076078	+	116362	RBP7	90	1.63782965E-1	DAVIES_SUCCESS
