Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.0021939053355433088	738531	71
chr1	AL645608.2	0.0033271267434187117	818042	185
chr1	SAMD11	-0.0015824416141807607	860259	202
chr1	AL645608.1	0.0017219885274147892	861263	37
chr1	NOC2L	0.003588475770988698	879583	77
chr1	KLHL17	0.00206226431650281	895966	46
chr1	PLEKHN1	-0.017223724022123594	901876	62
chr1	C1orf170	-0.0012563305831331704	910578	89
chr1	HES4	4.8369578859194916e-05	934341	93
chr1	ISG15	-0.004240140974808268	948802	56
chr1	AGRN	-0.0006260457900645251	955502	295
chr1	RNF223	0.001377141933241074	1006345	58
chr1	C1orf159	-0.0003623664321736699	1017197	361
chr1	TTLL10	0.0021904985948912182	1109263	350
chr1	TNFRSF18	0.004158805529069151	1138887	32
chr1	TNFRSF4	0.004250560929825356	1146705	38
chr1	SDF4	0.004037543474917788	1152287	134
chr1	B3GALT6	0.012899078380228763	1167628	28
chr1	FAM132A	0.004695776575711933	1177825	60
chr1	UBE2J2	0.012854597787880855	1189288	131
chr1	SCNN1D	0.010036248316982285	1215815	98
chr1	ACAP3	0.00017396639205465435	1227755	82
chr1	PUSL1	-0.0037766051019020265	1243946	10
chr1	CPSF3L	0.005973706364637028	1246964	29
chr1	GLTPD1	0.0036834596378100327	1260135	33
chr1	TAS1R3	0.005800321381804694	1266693	27
chr1	DVL1	0.0034221523920800923	1270655	60
chr1	MXRA8	0.0022267046360904498	1288068	134
chr1	AURKAIP1	0.004629622601440525	1309109	85
chr1	CCNL2	-0.0028080358423126623	1321090	62
chr1	RP4-758J18.2	-0.0006733550337322665	1334901	10
chr1	MRPL20	0.001768645149919887	1337287	49
chr1	ANKRD65	-0.0012613283926256446	1353799	48
chr1	TMEM88B	0.0007845973203283906	1361507	44
chr1	VWA1	-0.0019853249686347376	1370240	53
chr1	ATAD3C	-0.01764323650515935	1385068	93
chr1	ATAD3B	-0.007979906504684426	1407142	165
chr1	ATAD3A	0.002399089451692823	1447530	138
chr1	TMEM240	0.0008924670205267911	1470553	13
chr1	SSU72	0.00033062033570862404	1477052	120
chr1	AL645728.1	0.004105214038352363	1510354	50
chr1	C1orf233	-1.5783920516651447e-05	1533391	59
chr1	MIB2	0.00031628653239572905	1550794	65
chr1	MMP23B	-6.0703980918088385e-05	1567473	2
chr1	CDK11B	0.0013286166240516917	1570602	38
chr1	SLC35E2B	-0.00016804346288869416	1592938	111
chr1	CDK11A	0.00011255728408210555	1634168	123
chr1	SLC35E2	-0.0005306154767019303	1656276	96
chr1	NADK	0.0005105443732432846	1682670	134
chr1	GNB1	-0.0002530567000228487	1716728	332
chr1	CALML6	-0.001465926911737325	1846265	56
