Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	AL669831.1	0.0004574423345745405	738531	67
chr1	AL645608.2	0.0008286905210363669	818042	175
chr1	SAMD11	0.001233638931725394	860259	183
chr1	AL645608.1	0.0004623319664014784	861263	37
chr1	NOC2L	0.0010235604366256568	879583	74
chr1	KLHL17	0.0015546910410875676	895966	44
chr1	PLEKHN1	0.0016843076521044708	901876	54
chr1	C1orf170	0.0014889474136694095	910578	85
chr1	HES4	0.00085568838515681	934341	89
chr1	ISG15	0.0014511943204077882	948802	53
chr1	AGRN	0.0014938804211259888	955502	264
chr1	RNF223	0.0007746712419431441	1006345	52
chr1	C1orf159	0.00080172835529341	1017197	347
chr1	TTLL10	0.0006303955275594392	1109263	340
chr1	TNFRSF18	0.0010564498480813453	1138887	32
chr1	TNFRSF4	0.0005125579452375568	1146705	33
chr1	SDF4	0.0002581285157555384	1152287	130
chr1	B3GALT6	0.00048707875800151117	1167628	28
chr1	FAM132A	0.0002851174343371598	1177825	57
chr1	UBE2J2	0.0004245637672581789	1189288	121
chr1	SCNN1D	0.0005689268007540144	1215815	91
chr1	ACAP3	0.0003718849653165851	1227755	78
chr1	PUSL1	0.0005165817430840513	1243946	9
chr1	CPSF3L	0.0007327203026887007	1246964	26
chr1	GLTPD1	0.0007579806513915641	1260135	33
chr1	TAS1R3	0.0009404912155285304	1266693	25
chr1	DVL1	0.00044509914967766107	1270655	57
chr1	MXRA8	0.0004216921243775951	1288068	132
chr1	AURKAIP1	0.0003417636602583967	1309109	85
chr1	CCNL2	0.0003849845717904492	1321090	58
chr1	RP4-758J18.2	0.0003280042626476778	1334901	10
chr1	MRPL20	0.0003602061767075989	1337287	47
chr1	ANKRD65	0.0004857164164001327	1353799	48
chr1	TMEM88B	0.00026889156583502635	1361507	41
chr1	VWA1	0.00037518503170509807	1370240	52
chr1	ATAD3C	0.0013338391840863313	1385068	91
chr1	ATAD3B	0.0012011502473017143	1407142	162
chr1	ATAD3A	0.0007402454932134218	1447530	133
chr1	TMEM240	0.0007341933214285963	1470553	12
chr1	SSU72	0.0002368624566346701	1477052	118
chr1	AL645728.1	0.0006133445122170629	1510354	50
chr1	C1orf233	0.0003611581907011017	1533391	59
chr1	MIB2	0.00045065232469771035	1550794	65
chr1	MMP23B	0.00015398270027415796	1567473	2
chr1	CDK11B	0.00015948678578578957	1570602	38
chr1	SLC35E2B	0.0002907546060977345	1592938	108
chr1	CDK11A	0.0004643461369095115	1634168	122
chr1	SLC35E2	0.000954401864958458	1656276	96
chr1	NADK	0.0009787978243885338	1682670	126
chr1	GNB1	0.0013718582105625252	1716728	319
chr1	CALML6	0.0005394961105771064	1846265	55
chr1	TMEM52	0.0007963729913664312	1849028	16
