chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	16	9.9942018E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	79	8.2064452E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	125	6.19879194E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	176	6.87645647E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	181	5.60866251E-1	DAVIES_SUCCESS
chr1	860529	879961	+	148398	SAMD11	226	2.78311124E-1	DAVIES_SUCCESS
chr1	879582	894679	-	26155	NOC2L	257	1.53838415E-1	DAVIES_SUCCESS
chr1	895966	901099	+	339451	KLHL17	217	1.40741383E-1	DAVIES_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	225	7.45813549E-2	DAVIES_SUCCESS
chr1	910578	917473	-	84808	C1orf170	214	4.88414001E-2	DAVIES_SUCCESS
chr1	934341	935552	-	57801	HES4	221	3.38432536E-2	DAVIES_SUCCESS
chr1	948846	949919	+	9636	ISG15	223	2.98126108E-2	DAVIES_SUCCESS
chr1	955502	991499	+	375790	AGRN	300	1.49417388E-2	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	235	3.07140467E-2	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	313	4.17197595E-2	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	298	1.21298308E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	291	1.83456876E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	292	1.83873584E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	286	1.91116336E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	380	2.82438407E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	319	4.55741149E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	306	4.25824074E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	306	4.08341897E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	266	3.635351E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	219	4.84434656E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	196	6.03163709E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	113	6.87419717E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	105	6.90493346E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	85	6.4212138E-1	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	142	6.68825212E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	158	6.85154752E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	158	6.86913963E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	166	6.9788374E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	180	7.07558983E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	196	7.27374069E-1	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	220	7.64302958E-1	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	215	7.53863343E-1	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	225	7.51219154E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	178	7.777374E-1	DAVIES_SUCCESS
